country,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,56,0,0,0,7,0,0,14,460,346,110,87,28,24,11,13,31,4,3,55,28,62,149,133,21,87,1,53,0,0,0
Canada,,,,76,0,18,0,75,133,0,125,73,28,235,1200,56,241,1670,50.4k,0,0,0,43,0,0,0,0,76,142,0,0,0,0,0,0,0,522,0,40,0,0,32,99,55,0,0,63,31,0,150,22,0,19,501,120,3,39,0,93,41,0,0,33,219,0,26,0,0,0,38,119,31,67,0,32,43,21,0,83,73,43,13,84,0,0,268,30,27,2,64,8,51,43,33,36,4,10,48,293,19,17,12,45,7,10,4,1,6,2,18,0,20,11,61,32,0,0,2,86,2,1,815,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,20,0,30,28,13,0,0,13,0,0,0,0,0,0,0,0,6,13,0,1,0,0,51,0,0,2,0,0,0,0,0,66,26,35,5,1040,0,18,1,1,0,0,0,0,39,0,2,0,0,8,20,4,0,0,
Chile,,,,,,,20k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,30k,0,0,0,12,0,0,2,0,100,41,0,0,0,15,0,0,0,0,0,0,6000,5,0,0,4,1080,4,0,0,0,0,85,0,0,32,0,0,15,4,30,0,0,0,4,127,180,129,237,0,21,28,171,0,115,20,33,0,81,0,0,16,28,19,0,3,61,38,39,19,24,674,22,9,16,18,204,12,42,0,63,0,0,
China,,,2500,0,0,0,280,12k,0,1.5M,60k,100k,50k,942,0,170,1000,1800,10k,0,680k,1000,100k,5000,100,5010,0,45.9k,3M,0,242,3.71M,0,28.2k,500,142k,145,1050,14,500k,181,147,1680,0,0,17,0,0,4140,58.7k,500,4800,54,0,32k,39,4000,560,0,2M,0,0,0,0,686,0,0,0,0,3000,10.4k,0,0,0,20k,22.5k,242k,0,100,114,6490,2470,707,1700,144,2190,924,1370,4990,3910,1820,5930,1950,3050,4640,2890,6320,2660,5350,2830,2590,2320,3200,2750,2560,3110,3080,2220,89.2k,1140,8000,1380,1090,1800,1960,1940,1660,662,510,841,546,580,29
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,51,0,48,0,16,0,23,16,150,28,21,37,53,209,215,77,0,49,40,50,69,50,27,18,94,36,0,64,35,20,17,20,12,24,25,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1750,0,101,100,118,310,731,513,6,374,378,109,359,67,76,61,0,139,46,98,190,191,76,145,592,713,25,0,111,4,75,57,57,71,37,112,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,154,0,0,0,0,0,0,0,245,147,0,0,0,0,0,0,0,0,0,1020,0,86,67,500,46,0,39,296,749,100,1200,44,196,1140,2880,1200,1060,393,381,584,491,672,552,1050,718,16,548,196,162,491,2600,4610,266,488,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,15,0,0,0,0,0,0,0,35,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110,21,367,142,0,0,83,0,17,35,64,128,29,42,23,56,15,26,0,273,65,342,16,0,0,0,0,26,3840,20,49,
Colombia,,,,,,,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,1000,211,0,0,0,187,0,2700,0,195,184,0,0,182,0,0,32,1,81,0,0,407,251,70,225,401,0,170,155,0,701,205,242,144,427,0,21.8k,322,674,308,200,95,558,66,322,311,373,93,55,172,1290,153,163,252,127,143,395,150,375,176,83,755,368,106,98,181,140,150,441,46,305,129,65,
